date,year_month,geo,hicp_yoy
2023-10-01,2023-10,Poland,6.3
2023-11-01,2023-11,Poland,6.3
2023-12-01,2023-12,Poland,6.2
2024-01-01,2024-01,Poland,4.6
2024-02-01,2024-02,Poland,3.6
2024-03-01,2024-03,Poland,2.7
2024-04-01,2024-04,Poland,3.0
2024-05-01,2024-05,Poland,2.8
2024-06-01,2024-06,Poland,2.9
2024-07-01,2024-07,Poland,4.0
2024-08-01,2024-08,Poland,4.0
2024-09-01,2024-09,Poland,4.3
2024-10-01,2024-10,Poland,4.3
2024-11-01,2024-11,Poland,4.0
2024-12-01,2024-12,Poland,3.8
2025-01-01,2025-01,Poland,4.3
2025-02-01,2025-02,Poland,4.4
2025-03-01,2025-03,Poland,4.4
2025-04-01,2025-04,Poland,3.7
2025-05-01,2025-05,Poland,3.6
2025-06-01,2025-06,Poland,3.4
2025-07-01,2025-07,Poland,2.9
2025-08-01,2025-08,Poland,2.8
2025-09-01,2025-09,Poland,2.9
2025-10-01,2025-10,Poland,2.8
2025-11-01,2025-11,Poland,2.6
2025-12-01,2025-12,Poland,2.6
2026-01-01,2026-01,Poland,2.5
2026-02-01,2026-02,Poland,2.5
2026-03-01,2026-03,Poland,3.2
